processDefinitionId,processDefinitionKey,processDefinitionName,Duration
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.309
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.084
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.089
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.381
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.15
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.232
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.184
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.184
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.226
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.066
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.103
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.124
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.061
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.553
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.089
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.581
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.127
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.105
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.395
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.092
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.094
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.093
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.08
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.381
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.047
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.087
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.103
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.127
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.128
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.07
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.095
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.094
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.169
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.292
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.057
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.118
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.127
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.095
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.098
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.08
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.126
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.148
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.125
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.13
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.066
Process_1cl94bg:1:bc7fbec8-8463-11ec-9c12-0242ac120003,Process_1cl94bg,helicopter_vA,0.098
