,Mean_Reward
0,0.031240000000000014
1,0.026540000000000008
2,0.025400000000000006
3,0.024670000000000008
4,0.024040000000000006
5,0.023900000000000005
6,0.024845714285714294
7,0.025565000000000008
8,0.025755555555555566
9,0.025000000000000012
