,Acc_Reward
0,44.38102
1,44.94967499999999
2,49.76301666666665
3,49.501562499999984
4,50.817771999999984
5,50.36096333333332
6,50.558769999999996
7,50.177085
8,50.16384888888889
9,50.057226
10,49.77183909090909
11,49.38602083333333
12,49.03530153846154
13,48.656639285714284
14,48.34284
15,48.093016875
16,47.81452941176471
17,47.664659444444446
18,47.556605789473686
19,47.3862025
