,Mean_Reward
0,0.016400000000000005
1,0.017180000000000004
2,0.017293333333333338
3,0.016870000000000007
4,0.016936000000000007
5,0.018326666666666675
6,0.018708571428571436
7,0.018845000000000008
8,0.018800000000000008
9,0.018900000000000007
